Team,MP,W,D,L,GF,GA,GD,Pts,League,Season
Atlético Madrid,38,26,8,4,67,25,42,86,La Liga,2020-2021
Real Madrid,38,25,9,4,67,28,39,84,La Liga,2020-2021
Barcelona,38,24,7,7,85,38,47,79,La Liga,2020-2021
Sevilla,38,24,5,9,53,33,20,77,La Liga,2020-2021
Real Sociedad,38,17,11,10,59,38,21,62,La Liga,2020-2021
Betis,38,17,10,11,50,50,0,61,La Liga,2020-2021
Villarreal,38,15,13,10,60,44,16,58,La Liga,2020-2021
Celta Vigo,38,14,11,13,55,57,-2,53,La Liga,2020-2021
Granada,38,13,7,18,47,65,-18,46,La Liga,2020-2021
Athletic Club,38,11,13,14,46,42,4,46,La Liga,2020-2021
Osasuna,38,11,11,16,37,48,-11,44,La Liga,2020-2021
Cádiz,38,11,11,16,36,58,-22,44,La Liga,2020-2021
Valencia,38,10,13,15,50,53,-3,43,La Liga,2020-2021
Levante,38,9,14,15,46,57,-11,41,La Liga,2020-2021
Getafe,38,9,11,18,28,43,-15,38,La Liga,2020-2021
Alavés,38,9,11,18,36,57,-21,38,La Liga,2020-2021
Elche,38,8,12,18,34,55,-21,36,La Liga,2020-2021
Huesca,38,7,13,18,34,53,-19,34,La Liga,2020-2021
Valladolid,38,5,16,17,34,57,-23,31,La Liga,2020-2021
Eibar,38,6,12,20,29,52,-23,30,La Liga,2020-2021
